Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Lewy2_19Ct1_2Nov13_Samwise_13-07-28	19Ct1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6239	37352	39616	35088	0	4528	20751	20395	0	356	52.38	58.13	NaN	7.86	16213	1213361	36685	3.02	271	0.74	165359	34359	30711	20.78	21.26	666	1.94	+	0.6917	0.95787	0.51402	0.74137	
Lewy2_19Ct2_2Nov13_Samwise_13-07-28	19Ct2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)		False	1	2		Standard		6087	38058	40212	35904	0	4308	22366	22038	0	328	55.62	61.38	NaN	7.61	17292	1213325	37495	3.09	221	0.59	168359	35259	31338	20.94	21.33	577	1.64	+	0.67282	0.9341	0.50502	0.73293	
10Cs																													17614																		
10Ct1																													18129																		
10Ct2																													17383																		
11Cs																													17127																		
11Ct1																													17180																		
11Ct2																													17337																		
12Cs																													16080																		
12Ct1																													16587																		
12Ct2																													17075																		
13Cs																													16154																		
13Ct1																													17358																		
13Ct2																													16699																		
14Cs																													15544																		
14Ct1																													16696																		
14Ct2																													16104																		
15Cs																													14869																		
15Ct1																													15500																		
15Ct2																													15643																		
16Cs																													17432																		
16Ct1																													16516																		
16Ct2																													15750																		
17Cs																													16042																		
17Ct1																													16201																		
17Ct2																													15722																		
18Cs																													15356																		
18Ct1																													17166																		
18Ct2																													15668																		
19Cs																													17215																		
19Ct1																													16213																		
19Ct2																													17292																		
1Cs																													17528																		
1Ct1																													17722																		
1Ct2																													17887																		
2Cs																													17472																		
2Ct1																													17748																		
2Ct2																													17517																		
4Cs																													17397																		
4Ct1																													15956																		
4Ct2																													18143																		
5Cs																													16732																		
5Ct1																													18040																		
5Ct2																													17945																		
6Cs																													18100																		
6Ct1																													17390																		
6Ct2																													17695																		
7Cs																													17722																		
7Ct1																													16322																		
7Ct2																													17610																		
9Cs																													17017																		
9Ct1																													16731																		
9Ct2																													17348																		
Total															310376	1937983	2047605	1828361	0	219244	1113322	1094808	0	18514	54.37	59.88	NaN	8.44	42121	62025921					8564220	1794138	1591903	20.95	21.45	31143	1.74		0.67122	0.93736	0.50068	0.72873	
